Index|Steel|C|Mn|Cr|Ni|V|Mo|W|Co|Si|S|P|Rw|Type|cluster|d0|d1|d2|d3|d4|d5|d6|d7|d8|d9|d10|d11|d12|d13|d14
0|0170-6C|0.95|0.46|0.45|0.0|0.19|0.0|0.0|0.0|0.0|0.0|0.0|58.5|Non_Stainless|1|14.289303691922852|12.070445825029248|1.154734939547706|7.858247403206391|13.458577190773177|14.842238935267492|15.008970467690315|14.208619449709625|10.917421856830487|4.569450988174983|18.22308494739571|15.002382033086167|18.803130329923306|0.9580318366317478|8.741343654661389
3|1095 Cro-Van|1.025|0.4|0.5|0.25|0.161|0.06|0.0|0.0|0.2|0.025|0.025|57.0|Non_Stainless|2|14.239547605173417|12.024303042299842|1.0842529004069184|7.781347778502128|13.42027369318525|14.797269768831352|14.953824443934069|14.147482555800046|10.892419198690437|4.519697076869938|18.187241984424137|14.952451170293116|18.755585238340423|0.7235129577277796|8.672365203462215
4|1095|0.965|0.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.04|57.0|Non_Stainless|2|14.76337783164815|12.52043346221019|1.6010790764929983|8.32188243428132|13.893069315309702|15.293611998975475|15.460622869082604|14.643058366793916|11.284601233539446|4.981436272134105|18.67878341862767|15.45678572666387|19.281215308571976|1.0271806072935763|9.202598214031127
5|14-4CrMo|1.05|0.5|14.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|61.0|Stainless|7|3.920688715009137|3.987618997861863|13.044772513289352|7.415682857970666|10.404162628486734|3.7738251962127562|3.6696272971515786|0.24832774042918865|13.479239592796025|10.41539000710007|12.185775519022167|3.6671423933811633|7.199588990536409|14.176693020588406|5.836713306495551
6|154CM|1.05|0.5|14.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|7|3.920688715009137|3.987618997861863|13.044772513289352|7.415682857970666|10.404162628486734|3.7738251962127562|3.6696272971515786|0.24832774042918865|13.479239592796025|10.41539000710007|12.185775519022167|3.6671423933811633|7.199588990536409|14.176693020588406|5.836713306495551
7|19C27|0.95|0.7|13.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|61.5|Stainless|1|3.5709662557912805|1.0799737808608776|11.969427301398735|6.772691654726354|10.622080775441317|1.8778692646738255|2.1116260322320337|4.055654488899828|12.958391103836927|9.784870072378752|12.379140721390963|2.700481438558687|6.99549417664758|13.134977160238995|5.096458465335403
8|20CV|1.9|0.3|20.0|0.0|4.0|1.0|0.6|0.0|0.0|0.0|0.0|60.0|Stainless|12|5.803817709060133|8.581071946342094|18.91494375001751|12.586614010527216|11.847556710140704|6.356123194693106|6.103799185753082|7.699945887255746|15.881826091479532|16.17852019396912|10.123765356822528|5.947612966560619|1.3693622826792355|20.08966463134714|11.462971788424772
9|3Cr13|0.32|1.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|55.0|Stainless|5|3.9238119220982037|0.9043153346536793|11.491572312315826|6.423616757715236|10.587426505057781|2.359844423363401|2.6507592308619814|4.246830190467552|12.744284993674615|9.358895002438413|12.552331456745396|3.2062802955033933|7.527671537435079|12.64765689762337|4.757323010078485
10|4034|0.46|1.0|13.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|54.5|Stainless|5|3.7380074906291987|1.2042288722957728|11.983967024226791|6.8327338781778995|10.723339032223127|1.859895469381222|2.170816551438652|4.124653520802282|13.032267646115928|9.824736586799668|12.489844874937397|2.8277611874649757|7.121007868358558|13.142595824265465|5.172490266356773
11|420HC|0.45|0.8|13.0|0.0|0.18|0.6|0.0|0.0|0.0|0.0|0.0|57.0|Stainless|5|3.4985425536928942|0.7342443707093486|11.486847444324475|6.195381525781927|10.238701089493725|2.299286899874369|2.5160016891886228|3.6341069512788593|12.531651926222656|9.225946148408486|12.237668282806164|2.960123871281965|7.321742292930122|12.648202441453885|4.492618637523357
